Day1: 05:00, traveller sets off late.
Day1: 06:00, traveller boards the [飞机], risk of being infected is 16.5
Day1: 07:00, traveller is travelling on [飞机], risk of being infected is 16.5
Day1: 08:00, traveller is travelling on [飞机], risk of being infected is 16.5
Day1: 09:00, traveller has arrived at destination [台北], risk of being infected is 16.5
Day1: 15:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 16:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 17:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 18:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 19:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 20:00, traveller sets off on time.
Day1: 21:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 22:00, traveller is waiting at [台北], risk of being infected is 26.7
Day1: 23:00, traveller is waiting at [台北], risk of being infected is 26.7
Day2: 00:00, traveller boards the [飞机], risk of being infected is 26.7
Day2: 01:00, traveller is travelling on [飞机], risk of being infected is 26.7
Day2: 02:00, traveller is travelling on [飞机], risk of being infected is 26.7
Day2: 03:00, traveller has arrived at [北京], risk of being infected is 26.7
Day2: 04:00, traveller is travelling on [飞机], risk of being infected is 26.7
Day2: 05:00, traveller is travelling on [飞机], risk of being infected is 26.7
Day2: 06:00, traveller is travelling on [飞机], risk of being infected is 26.7
Day2: 07:00, traveller has arrived at destination [乌鲁木齐], risk of being infected is 26.7
Day2: 09:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 10:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 11:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 12:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 13:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 14:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 15:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 16:00, traveller sets off on time.
Day2: 17:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 18:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 19:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 20:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 21:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 22:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day2: 23:00, traveller is waiting at [乌鲁木齐], risk of being infected is 27.2
Day3: 00:00, traveller boards the [飞机], risk of being infected is 27.2
Day3: 01:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 02:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 03:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 04:00, traveller has arrived at [北京], risk of being infected is 27.2
Day3: 05:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 06:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 07:00, traveller is travelling on [飞机], risk of being infected is 27.2
Day3: 08:00, traveller has arrived at destination [香港], risk of being infected is 27.2
